episode_id,podcast_id,title,release_date,duration_seconds
ep_1,podcast_10,Episode 1,2023-07-17,3840
ep_2,podcast_1,Episode 2,2023-03-11,4025
ep_3,podcast_1,Episode 3,2023-06-28,3984
ep_4,podcast_8,Episode 4,2023-06-05,3814
ep_5,podcast_1,Episode 5,2023-03-23,4572
ep_6,podcast_6,Episode 6,2023-09-22,4516
ep_7,podcast_9,Episode 7,2023-03-12,3114
ep_8,podcast_9,Episode 8,2023-02-23,4768
ep_9,podcast_6,Episode 9,2023-04-26,4970
ep_10,podcast_6,Episode 10,2023-02-17,2526
ep_11,podcast_9,Episode 11,2023-05-05,1965
ep_12,podcast_6,Episode 12,2023-05-16,3561
ep_13,podcast_1,Episode 13,2023-09-14,958
ep_14,podcast_4,Episode 14,2023-09-16,1934
ep_15,podcast_1,Episode 15,2023-04-10,2497
ep_16,podcast_10,Episode 16,2023-04-29,997
ep_17,podcast_10,Episode 17,2023-06-12,986
ep_18,podcast_6,Episode 18,2023-10-11,4704
ep_19,podcast_3,Episode 19,2023-10-01,1409
ep_20,podcast_8,Episode 20,2023-09-10,3563
ep_21,podcast_1,Episode 21,2023-05-12,5034
ep_22,podcast_8,Episode 22,2023-06-24,3542
ep_23,podcast_4,Episode 23,2023-09-14,1333
ep_24,podcast_10,Episode 24,2023-11-22,348
ep_25,podcast_10,Episode 25,2023-11-08,4350
ep_26,podcast_6,Episode 26,2023-12-23,5089
ep_27,podcast_2,Episode 27,2023-12-20,729
ep_28,podcast_6,Episode 28,2023-08-24,3264
ep_29,podcast_7,Episode 29,2023-06-11,3238
ep_30,podcast_4,Episode 30,2023-08-18,3110
ep_31,podcast_4,Episode 31,2023-04-03,3432
ep_32,podcast_1,Episode 32,2023-08-01,3374
ep_33,podcast_9,Episode 33,2023-05-16,1732
ep_34,podcast_9,Episode 34,2023-07-12,3318
ep_35,podcast_2,Episode 35,2023-06-01,1302
ep_36,podcast_5,Episode 36,2023-09-15,5259
ep_37,podcast_6,Episode 37,2023-01-29,3417
ep_38,podcast_1,Episode 38,2023-10-28,3481
ep_39,podcast_5,Episode 39,2023-02-25,4113
ep_40,podcast_10,Episode 40,2023-12-28,2959
ep_41,podcast_4,Episode 41,2023-11-28,3948
ep_42,podcast_5,Episode 42,2023-08-13,4910
ep_43,podcast_10,Episode 43,2023-06-26,2335
ep_44,podcast_8,Episode 44,2023-09-14,5010
ep_45,podcast_5,Episode 45,2023-06-22,699
ep_46,podcast_3,Episode 46,2023-03-05,463
ep_47,podcast_7,Episode 47,2023-12-05,4366
ep_48,podcast_3,Episode 48,2023-09-02,4683
ep_49,podcast_1,Episode 49,2023-08-29,4739
ep_50,podcast_3,Episode 50,2023-06-16,3329
